ID,UPA,EventDate,Employer,City,State,Zip,Latitude,Longitude,Primary NAICS,Hospitalized,Amputation,Final Narrative,Nature,NatureTitle,Part of Body,Part of Body Title,Event,EventTitle,Source,SourceTitle,General Nature,General Event,General Source,NAICS Desc
20221211096,1980878,12/22/22,"Cornerstone Forming, LLC",ATLANTA,GEORGIA,30308.0,33.77,-84.36,238190,0,1.0,"On December 22, 2022, an employee was removing reshores from new concrete when the inner pipe became stuck inside the outer pipe. To dislodge the inner pipe, the employee struck it against the wall. Their finger was inside one of the holes on the pipes a",1311.0,Amputations,4420.0,"Finger(s), fingernail(s), unspecified",642.0,Compressed or pinched by shifting objects or equipment,4123.0,"Metal pipes, tubing",Surface and flesh wounds,Contact Incidents,Parts and Materials,Manufacturing
20221211088,1984564,12/22/22,Bunn-O-Matic Corporation,SPRINGFIELD,ILLINOIS,62703.0,39.75,-89.63,335210,1,1.0,"An employee was using a pneumatic pincer to secure an ear clamp onto a juice hose fitting. The employee inadvertently placed the pincer head on the tip of their right little finger and activated the crimper, which pinched their fingertip. The employee su",1311.0,Amputations,4420.0,"Finger(s), fingernail(s), unspecified",6252.0,Injured by slipping or swinging object held by injured worker,7299.0,"Handtools-powered, n.e.c.",Surface and flesh wounds,Contact Incidents,"Tools, Instruments, and Equipment",Manufacturing
20221211087,1980593,12/21/22,"Butterball, LLC",JONESBORO,ARKANSAS,72401.0,35.82,-90.56,311615,1,0.0,"An employee was troubleshooting a packaging machine. Upon feeling the plastic seal head to see if it was warm, clean, and sealing properly, the machine cycled and the employee's left thumb was caught between the seal head and the mold plate. She sustaine",111.0,Fractures,4420.0,"Finger(s), fingernail(s), unspecified",6411.0,"Caught in running equipment or machinery during maintenance, cleaning ",3739.0,"Packaging, bottling, wrapping machinery, n.e.c.","Injuries to the brain, spinal cord",Contact Incidents,Machinery,Manufacturing
20221211077,1980431,12/21/22,"Millet the Printer, Inc.",DALLAS,TEXAS,75201.0,32.77,-96.79,322121,0,1.0,An employee was retrieving paper from the cutter when his little finger was caught between the clamp and the blade. The employee sustained a fingernail avulsion and fingertip amputation.,1311.0,Amputations,4422.0,Fingertip(s),6412.0,Caught in running equipment or machinery during regular operation,3740.0,"Paper production machinery, unspecified",Surface and flesh wounds,Contact Incidents,Machinery,Manufacturing
20221211065,1983784,12/21/22,"FET-Global, LLC",DAYTON,TEXAS,77535.0,30.02,-94.9,331210,0,1.0,"An employee was using a lathe machine. As he moved to take material out of the machine, the shifter lever was engaged and the chuck rotated slightly forward. The chuck guard fell with the rotation of the lathe, struck his right middle finger, and caused ",1311.0,Amputations,4420.0,"Finger(s), fingernail(s), unspecified",6412.0,Caught in running equipment or machinery during regular operation,3551.0,Metalworking lathes,Surface and flesh wounds,Contact Incidents,Machinery,Manufacturing
20221211064,1980565,12/21/22,Schwabe North America Inc,GREEN BAY,WISCONSIN,54311.0,44.48,-87.93,325412,0,1.0,"On December 21, 2022, an employee was using an alcohol spray bottle and a rag to clean the inside of a mobile liquid transfer pump during a product changeover. The pump activated and the rotor amputated the employee's right second fingertip.",1311.0,Amputations,4422.0,Fingertip(s),6411.0,"Caught in running equipment or machinery during maintenance, cleaning ",3797.0,Pumps,Surface and flesh wounds,Contact Incidents,Machinery,Manufacturing
20221211057,1983389,12/21/22,Climco Coils Company,MORRISON,ILLINOIS,61270.0,41.79,-89.95,332710,1,0.0,"An employee was helping move a load of steel bars. The load shifted, causing the support to break; the bars then pinned the employee's left arm and broke it.",111.0,Fractures,420.0,"Arm(s), unspecified",60.0,"Contact with objects and equipment, unspecified",4132.0,"Bars, rods, reinforcing bar (rebar)","Injuries to the brain, spinal cord",Contact Incidents,Parts and Materials,Manufacturing
20221211055,1980419,12/21/22,Salm Partners LLC,DENMARK,WISCONSIN,54208.0,44.34,-87.84,311612,0,1.0,"On December 21, 2022, an employee was unjamming a smoke tower when they came in contact with the chain. The employee sustained a right ring fingertip amputation. The machine was guarded at the time.",1311.0,Amputations,4422.0,Fingertip(s),6411.0,"Caught in running equipment or machinery during maintenance, cleaning ",3329.0,"Heating and cooking machinery and appliances, n.e.c.",Surface and flesh wounds,Contact Incidents,Machinery,Manufacturing
20221211050,1984122,12/21/22,Creative Counter Fabrications Inc.,GROVELAND,FLORIDA,34736.0,28.56,-81.89,327991,1,0.0,"An employee was using a battery powered hand saw to do a sink cutout on a laminate top when the saw contacted his right hand. He sustained cuts on his right thumb, index, and middle finger.",132.0,"Cuts, lacerations",4420.0,"Finger(s), fingernail(s), unspecified",6252.0,Injured by slipping or swinging object held by injured worker,7224.0,"Saws-powered, except chainsaws",Surface and flesh wounds,Contact Incidents,"Tools, Instruments, and Equipment",Manufacturing
20221211041,1979950,12/20/22,"FLOWERS BAKING CO. OF VILLA RICA, LLC",VILLA RICA,GEORGIA,30180.0,33.74,-84.93,311812,0,1.0,An employee was working on a bagger machine when his left ring fingertip was amputated.,1311.0,Amputations,4422.0,Fingertip(s),6412.0,Caught in running equipment or machinery during regular operation,3732.0,"Packaging, wrapping, bundling machinery",Surface and flesh wounds,Contact Incidents,Machinery,Manufacturing
